longitude,latitude,ID
-87.70990390119185,41.97573303895653,I0
-87.7234221582453,41.91720243541793,I1
-87.61458907415411,41.79335698376215,I2
-87.7040896871749,41.81109768612113,I3
-87.63880688545565,41.77514627417373,I4
-87.81342242150248,41.95204257478014,I5
-87.69376893585567,41.89931370542408,I6
-87.71312074177396,41.99205271363808,I7
-87.5681085727779,41.725166652805314,I8
-87.64928081278015,41.89507423825715,I9
-87.66932991791093,41.74330433584838,I10
-87.5500357366215,41.73700706025966,I11
-87.7224707996615,41.94516935201304,I12
-87.81317997988451,41.94684563368542,I13
-87.74931696488659,41.80926259982727,I14
-87.81350684407806,41.99353763323705,I15
-87.66161886295087,41.69668242009101,I16
-87.76678138910742,41.798156903176704,I17
-87.60150111749498,41.74963100967114,I18
-87.67577593102939,41.93491664071563,I19
-87.61716052987161,41.83476599193695,I20
-87.6567090717554,41.94571964156741,I21
-87.62398394045083,41.90094096561282,I22
-87.70060540365006,41.95115382120233,I23
-87.58399886398949,41.71236925659968,I24
-87.71790621495622,41.914378143571334,I25
-87.65375307795777,41.71112323398065,I26
-87.77061650266384,41.97470109827146,I27
-87.64284265442252,41.84823643614884,I28
-87.7100413261027,41.91190021549759,I29
-87.8013362437693,41.982513616303926,I30
-87.7004147558354,41.91583462770897,I31
-87.62743228200766,41.67672160583055,I32
-87.63105090283503,41.888824612845916,I33
-87.74552502227297,41.81306795544024,I34
-87.58082761439832,41.78836274248349,I35
-87.84078405534937,41.93746372329305,I36
-87.64104539387726,41.8228081501713,I37
-87.55440860173216,41.665226597864496,I38
-87.62131333505579,41.74848072866551,I39
-87.6312313070224,41.8172955191552,I40
-87.81687266544529,41.947840160484944,I41
-87.75082789098228,41.96467963460953,I42
-87.66951548843176,41.88861809481661,I43
-87.67314163556323,41.88877762879163,I44
-87.73306111164746,41.97178871598697,I45
-87.68357413139631,41.99302182183188,I46
-87.62945507708379,41.85713235674847,I47
-87.6677861595135,41.77550647010751,I48
-87.5699887108603,41.75168247931157,I49
-87.68477218636332,41.70088569068464,I50
-87.71526796795605,41.886294678109216,I51
-87.73540864904949,41.878644774435294,I52
-87.66360026875293,42.001388980268516,I53
-87.65877404790642,41.85451231545783,I54
-87.77749598657317,41.997435967953926,I55
-87.76210879402103,41.95418411202205,I56
-87.67602348169989,41.97972556623158,I57
-87.62527525094987,41.74659031216847,I58
-87.67417469301549,41.71013842402466,I59
-87.63197467252932,41.80776601449433,I60
-87.5328669740041,41.70274211230041,I61
-87.76689072121596,41.90275929338586,I62
-87.58944381506446,41.77148252381545,I63
-87.59304716552914,41.779435207937205,I64
-87.7077237485827,41.959363399839134,I65
-87.59134500077944,41.77420248561011,I66
-87.58811944933461,41.80992978300993,I67
-87.79337536082842,41.94125664711963,I68
-87.72667228074877,41.81632382335199,I69
-87.61679159673228,41.860340400288464,I70
